,State,Zip Code,< -$100,$-100 to $-90,$-90 to $-80,$-80 to $-70,$-70 to $-60,$-60 to $-50,$-50 to $-40,$-40 to $-30,$-30 to $-20,$-20 to $-10,$-10 to $0,$0 to $10,$10 to $20,$20 to $30,$30 to $40,$40 to $50,$50 to $60,$60 to $70,$70 to $80,$80 to $90,$90 to $100,> $100,Grand Total
237,CA,91706,,,,,,,,,,,,7.0,,,,,,,,,,,7.0
239,CA,91709,1.0,,,,,1.0,,,1.0,,,16.0,,,,,,,,,,,19.0
240,CA,91710,2.0,,,,,,,,,,,14.0,1.0,2.0,,,,,,,,,19.0
241,CA,91711,,,,,,,,,,,1.0,38.0,,,,,,,,,,,39.0
243,CA,91724,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
244,CA,91730,7.0,3.0,4.0,4.0,4.0,1.0,6.0,4.0,2.0,2.0,2.0,26.0,4.0,1.0,,,,,,,,,70.0
247,CA,91737,1.0,,1.0,,,,,,,1.0,,18.0,,1.0,,,,,,,,,22.0
248,CA,91739,,,,,,,,,,,,15.0,,,,,,,,,,,15.0
249,CA,91740,,,,,,,,,,,,10.0,,,,,,,,,,,10.0
250,CA,91741,3.0,,1.0,,,,,,1.0,,,35.0,,,,,,,,,,,40.0
252,CA,91745,,,,,,,,,,,,10.0,,,,,,,,,,,10.0
254,CA,91748,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
255,CA,91750,,,,,,,,,,,,15.0,,,,,,,,,,,15.0
256,CA,91752,,,,,,,,,,1.0,,128.0,1.0,,,,,,,,,,130.0
257,CA,91754,,,,,,,,,,,,14.0,,,,,,,,,,,14.0
259,CA,91759,1.0,,,1.0,,,,,,,,3.0,4.0,2.0,3.0,,,,,,,,14.0
260,CA,91761,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
261,CA,91762,,,,,,,,,,,,6.0,,,,,,,,,,,6.0
263,CA,91764,,,,,,,,,,,,11.0,,,,,,,,,,,11.0
264,CA,91765,,,,,,,,,,,1.0,16.0,,,,,,,,,,,17.0
266,CA,91770,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
267,CA,91773,,1.0,,,,,,,,,1.0,7.0,,,,,,,,,,,9.0
270,CA,91784,,,,,,,,,,,,29.0,,,,,,,,,,,29.0
271,CA,91786,1.0,1.0,,1.0,,1.0,,,1.0,,,14.0,,,,,,,,,,,19.0
272,CA,91789,1.0,,,,,,,,,,,9.0,,,,,,,,,,,10.0
274,CA,91791,3.0,,,,,,,,,,,12.0,1.0,,,,,,,,,,16.0
278,CA,91901,1.0,,1.0,,,1.0,,,,,5.0,12.0,,,,,,,,,,,20.0
279,CA,91902,2.0,,,,,,,,,,2.0,23.0,6.0,9.0,1.0,,,,,,,,43.0
281,CA,91910,,,,,,,,,,2.0,1.0,24.0,,2.0,1.0,,,,,,,,30.0
282,CA,91911,1.0,,,1.0,,,,,,,3.0,24.0,3.0,1.0,,,,,,,,,33.0
283,CA,91913,,,,,,,,,,,3.0,5.0,,,,,,,,,,,8.0
284,CA,91914,,,,,,,,,,,1.0,6.0,,,,,,,,,,,7.0
285,CA,91915,,,,,,,,,,,1.0,8.0,,,,,,,,,,,9.0
286,CA,91916,,,,,,,,,,,1.0,4.0,,,,,,,,,,,5.0
288,CA,91932,,,,,,,,,,,,77.0,1.0,,,,,,,,,,78.0
289,CA,91935,2.0,,,,,1.0,,,,,1.0,5.0,,,,,,,,,,,9.0
290,CA,91941,2.0,,1.0,3.0,,,1.0,,,,7.0,42.0,,,,,,,,,,,56.0
291,CA,91942,,,,,,,,,,1.0,2.0,19.0,,,,,,,,,,,22.0
292,CA,91945,1.0,,,,,,,,,,1.0,8.0,,,,,,,,,,,10.0
293,CA,91950,17.0,3.0,,,,,1.0,3.0,,2.0,,29.0,,,,,,,,,,,55.0
294,CA,91962,1.0,,,,,,,,,,,4.0,1.0,,,,,,,,,,6.0
296,CA,91977,8.0,,2.0,1.0,3.0,,,1.0,,1.0,3.0,39.0,,,,,,,,,,,58.0
297,CA,91978,1.0,,,1.0,,,,,,,1.0,6.0,,,,,,,,,,,9.0
299,CA,92003,,,,,,,,,,,,8.0,,,,,,,,,,,8.0
300,CA,92004,1.0,,,,,1.0,7.0,3.0,9.0,10.0,16.0,220.0,92.0,12.0,2.0,,,,,,,,373.0
301,CA,92007,,,,,,,,,,,3.0,16.0,,,,,,,,,,,19.0
302,CA,92008,,,1.0,,,,,,,,2.0,39.0,,,,,,,,,,,42.0
303,CA,92009,1.0,,,1.0,,,,,,,8.0,59.0,,,,,,,,,,,69.0
304,CA,92010,,,,1.0,,,,,,,8.0,18.0,,,,,,,,,,,27.0
