,ZIP Code,growth_pol_23_24,policies_24,growth_pol_22_23,policies_23,growth_pol_21_22,policies_22,growth_pol_20_21,policies_21,policies_20,growth_exp_23_24,exposure_24,growth_exp_22_23,exposure_23,growth_exp_21_22,exposure_22,growth_exp_20_21,exposure_21,exposure_20
159,93210,0.077,28,0.3,26,0.176,20,-0.15,17,20,0.105,17539721,0.337,15876400,0.232,11872002,0.005,9638137,9587546
160,93234,-0.5,1,0.0,2,-0.5,2,0.0,4,4,-0.487,312787,0.082,609996,-0.592,563660,0.635,1380735,844409
161,93242,1.0,2,0.0,1,-1.0,0,0.0,1,1,2.129,843300,0.0,269500,-1.0,0,0.062,274793,258750
162,93602,0.044,519,0.038,497,0.048,479,-0.034,457,473,0.148,352778363,0.106,307290348,0.161,277837430,0.041,239389619,229911677
163,93606,0.0,1,0.0,0,0.0,0,0.0,0,0,0.0,295399,0.0,0,0.0,0,0.0,0,0
164,93608,-0.667,1,0.5,3,1.0,2,-0.5,1,2,-0.696,220470,0.96,725746,1.013,370225,-0.487,183930,358594
165,93609,0.5,9,0.0,6,0.2,6,0.25,5,4,0.585,4965852,-0.119,3133133,0.524,3556271,0.17,2333053,1993428
166,93611,2.25,13,0.333,4,-0.25,3,0.0,4,4,1.664,13282394,0.58,4985344,0.351,3155149,0.075,2335115,2171682
167,93612,3.2,21,0.0,5,0.667,5,0.5,3,2,3.333,8322893,-0.057,1920772,0.636,2037839,0.738,1245637,716613
168,93616,2.0,3,-0.5,1,0.0,2,0.0,0,0,1.939,1702673,-0.421,579245,0.0,1000500,0.0,0,0
169,93619,0.518,296,0.741,195,0.697,112,0.32,66,50,0.574,288607273,0.789,183359328,1.323,102466836,0.336,44103870,33012895
170,93621,0.158,22,0.357,19,0.077,14,0.3,13,10,0.155,15353486,0.861,13298500,0.055,7144805,0.369,6772245,4947135
171,93622,2.818,42,0.571,11,-0.125,7,0.0,8,8,1.926,25163448,1.577,8598989,1.067,3336379,0.024,1614419,1575902
172,93624,0.0,2,0.0,0,0.0,0,0.0,0,0,0.0,574011,0.0,0,0.0,0,0.0,0,0
173,93625,5.0,6,-0.833,1,2.0,6,1.0,2,1,5.966,3027477,-0.702,434607,1.385,1458606,0.711,611550,357500
174,93626,0.86,160,0.229,86,0.458,70,0.2,48,40,0.786,149947928,0.392,83979013,0.848,60337143,0.454,32654172,22460782
175,93627,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
176,93628,0.121,111,0.375,99,0.241,72,0.184,58,49,0.144,74265863,0.559,64891171,0.344,41632421,0.338,30971809,23142599
177,93630,0.429,20,0.167,14,0.5,12,1.667,8,3,0.105,9308961,0.416,8422416,1.006,5949590,2.711,2966394,799408
178,93631,0.0,6,0.2,6,-0.167,5,0.5,6,4,0.259,3534515,0.305,2806315,-0.452,2150478,2.172,3924430,1237179
179,93633,0.132,77,0.115,68,0.173,61,0.238,52,42,0.17,34145244,0.263,29191833,0.38,23121214,0.322,16753276,12669084
