,ZIP Code,New,Renewed,Expiring,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,Pct NonRenewed,Pct NonRenewed Owner,Pct NonRenewed Company
375,92120,6106,56656,62850,5105,1089,0.09855210819411296,0.08122513922036595,0.017326968973747015
376,92121,657,4948,5613,481,184,0.11847496882237663,0.0856939248173882,0.03278104400498842
377,92122,3610,36839,40583,3114,630,0.09225537786758002,0.07673163639947761,0.015523741468102408
378,92123,3623,33902,37558,3054,602,0.09734277650567123,0.08131423398477022,0.016028542520901006
379,92124,3156,31224,34551,2549,778,0.0962924372666493,0.07377499927643194,0.02251743799021736
380,92126,10300,95861,106393,8500,2032,0.09899147500305472,0.07989247412893706,0.019099000874117658
381,92127,12204,69796,81032,9174,2062,0.13866126962187778,0.11321453253035837,0.0254467370915194
382,92128,9763,73739,83648,8116,1793,0.11846069242540168,0.0970256312165264,0.021435061208875287
383,92129,10051,84832,95125,7945,2348,0.10820499342969776,0.08352168199737188,0.024683311432325886
384,92130,13045,80485,92430,9773,2172,0.1292329330304014,0.10573406902520827,0.023498864005193118
385,92131,7623,59074,67102,5609,2419,0.11963875890435456,0.08358916276713063,0.03604959613722393
386,92139,4609,41772,46361,3563,1026,0.09898405987791463,0.07685338970255172,0.022130670175362913
387,92140,1,30,32,1,1,0.0625,0.03125,0.03125
388,92154,9850,84317,93947,7365,2265,0.10250460365951015,0.07839526541560667,0.02410933824390348
389,92173,1746,16165,18030,1383,482,0.10343871325568497,0.07670549084858569,0.02673322240709928
390,92201,15729,89479,103837,11687,2671,0.1382744108554754,0.11255140267919914,0.02572300817627628
391,92203,14031,68353,80639,10751,1535,0.1523580401542678,0.1333225858455586,0.019035454308709187
392,92210,3344,17783,21013,2586,644,0.15371436729643553,0.12306667301194499,0.030647694284490552
393,92211,11930,66394,78110,10431,1285,0.14999359877096402,0.13354244014850852,0.01645115862245551
394,92220,10366,57615,67323,7256,2452,0.14420034757809366,0.10777891656640376,0.03642143101168991
395,92223,20047,102293,119405,13795,3317,0.14331058163393492,0.11553117541141493,0.027779406222519995
396,92225,3583,28127,31467,2464,876,0.10614294340102329,0.07830425525153335,0.02783868814948994
397,92227,3978,32729,36443,2697,1017,0.10191257580330927,0.07400598194440633,0.027906593858902946
398,92230,646,3255,3924,428,241,0.1704892966360856,0.109072375127421,0.06141692150866463
399,92231,4847,41749,46699,3549,1401,0.10599798710893167,0.07599734469688858,0.030000642412043085
400,92233,490,4204,4716,360,152,0.1085665818490246,0.07633587786259542,0.032230703986429174
401,92234,15891,84878,99090,11608,2604,0.14342516903824806,0.11714602886265012,0.026279140175597942
402,92236,6289,42241,48123,4505,1377,0.12222845624753237,0.0936142800739771,0.028614176173555265
403,92239,172,929,1073,118,26,0.1342031686859273,0.10997204100652376,0.024231127679403542
404,92240,12840,60199,72146,9330,2617,0.16559476616860255,0.12932109888282095,0.03627366728578161
405,92241,4650,21025,24664,2718,921,0.14754297761920207,0.11020110282192669,0.03734187479727538
406,92242,1137,7684,8617,697,236,0.10827434141812696,0.0808866194731345,0.027387721944992456
407,92243,7451,55679,62911,5199,2033,0.11495604902163374,0.08264055570567945,0.032315493315954284
408,92249,958,8314,9321,750,257,0.10803561849586954,0.0804634695848085,0.027572148911061044
409,92250,1133,9820,10930,769,341,0.10155535224153706,0.07035681610247027,0.03119853613906679
410,92251,5197,33302,37713,3441,970,0.11696232068517487,0.09124174687773447,0.025720573807440406
411,92252,4401,22829,26925,3219,877,0.15212627669452183,0.11955431754874651,0.0325719591457753
412,92253,19133,100809,119207,15729,2669,0.15433657419446845,0.131946949424111,0.022389624770357445
413,92254,989,8175,9065,571,319,0.09817981246552675,0.06298952013237727,0.03519029233314948
414,92256,1554,8753,10174,998,423,0.13966974641242383,0.09809317869078042,0.041576567721643407
415,92257,443,3260,3637,286,91,0.10365686004949135,0.07863623865823481,0.02502062139125653
416,92258,194,598,767,97,72,0.22033898305084745,0.12646675358539766,0.0938722294654498
417,92259,101,987,1095,75,33,0.09863013698630137,0.0684931506849315,0.030136986301369864
418,92260,12369,62478,72548,8348,1722,0.13880465347080553,0.11506864420797265,0.023736009262832883
419,92262,11149,51125,61732,9007,1600,0.1718233655154539,0.14590487915505734,0.025918486360396554
420,92264,7925,37754,44955,6051,1150,0.16018240462684907,0.13460126793460125,0.025581136692247805
421,92266,99,955,1043,63,25,0.08437200383509108,0.06040268456375839,0.023969319271332695
422,92267,429,2276,2524,185,63,0.098256735340729,0.07329635499207607,0.02496038034865293
423,92268,322,1753,2047,234,60,0.1436248168050806,0.11431362970200293,0.029311187103077674
424,92270,9118,43726,51862,6773,1363,0.1568778681886545,0.1305965832401373,0.026281284948517218
425,92273,210,1445,1641,114,82,0.1194393662400975,0.06946983546617916,0.049969530773918344
426,92274,2890,13500,16051,1788,763,0.1589309077316055,0.1113949286648807,0.04753597906672481
427,92275,191,1965,2349,316,68,0.16347381864623245,0.13452532992762878,0.02894848871860366
428,92276,4279,17640,20496,2159,697,0.13934426229508196,0.1053376268540203,0.034006635441061674
429,92277,6677,35974,42235,4897,1364,0.14824197940097075,0.11594648987806322,0.03229548952290754
430,92278,1,54,60,4,2,0.1,0.06666666666666667,0.03333333333333333
431,92281,255,2528,2780,184,68,0.09064748201438849,0.06618705035971223,0.02446043165467626
432,92282,511,2323,2812,319,170,0.17389758179231862,0.11344238975817923,0.060455192034139404
433,92283,249,1393,1639,155,91,0.150091519219036,0.09456985967053082,0.05552165954850519
434,92284,10821,58254,68505,8204,2047,0.14963871250273703,0.11975768192102766,0.029881030581709364
435,92285,1174,5645,6744,758,341,0.16295966785290628,0.11239620403321471,0.050563463819691574
436,92301,9715,44894,54053,7253,1906,0.16944480417368138,0.13418311657077314,0.03526168760290826
437,92305,218,2048,2333,195,90,0.12216030861551651,0.08358336905272182,0.03857693956279468
438,92307,12715,71040,83177,9644,2493,0.14591774168339805,0.11594551378385852,0.029972227899539537
439,92308,14796,80697,94480,11179,2604,0.14588272650296358,0.11832133784928027,0.02756138865368332
440,92309,9,94,105,7,4,0.10476190476190476,0.06666666666666667,0.0380952380952381
441,92311,7824,47698,55334,5553,2083,0.1379983373694293,0.1003542125998482,0.03764412476958109
442,92313,2608,19132,21543,1857,554,0.1119157034767674,0.08619969363598384,0.02571600984078355
443,92314,7563,43602,52531,5384,3545,0.16997582379928042,0.10249186194818298,0.06748396185109745
444,92315,6674,38449,46787,5114,3224,0.1782118964669673,0.10930386645863167,0.06890803000833565
445,92316,5203,35308,40351,3534,1509,0.12497831528338826,0.08758147257812694,0.037396842705261335
446,92317,142,1209,1434,134,91,0.15690376569037656,0.09344490934449093,0.06345885634588563
447,92318,8,30,39,6,3,0.23076923076923078,0.15384615384615385,0.07692307692307693
448,92320,4646,19912,23453,2476,1065,0.15098281669722424,0.10557284782330618,0.04540996887391805
449,92321,263,2091,2520,213,216,0.17023809523809524,0.08452380952380953,0.08571428571428572
450,92322,509,2602,3236,319,315,0.19592088998763907,0.09857849196538937,0.09734239802224968
451,92324,9906,66353,75907,6908,2646,0.12586454477189193,0.09100609956920969,0.03485844520268223
452,92325,4475,23357,28694,2917,2420,0.18599707255872308,0.1016588833902558,0.08433818916846728
453,92327,74,622,718,58,38,0.13370473537604458,0.0807799442896936,0.052924791086350974
454,92329,2,80,86,5,1,0.06976744186046512,0.05813953488372093,0.011627906976744186
455,92333,616,4121,4891,410,360,0.15743201799223064,0.08382743815170722,0.0736045798405234
456,92335,12661,91152,103569,9068,3349,0.11989108710135273,0.08755515646573782,0.03233593063561491
457,92336,26129,146629,169394,18864,3901,0.13439082848270895,0.11136167750923881,0.023029150973470136
458,92337,7910,52669,60734,6209,1856,0.13279217571706128,0.10223268679816906,0.03055948891889222
459,92339,389,3057,3537,315,165,0.13570822731128074,0.089058524173028,0.04664970313825276
460,92340,0,44,49,2,3,0.10204081632653061,0.04081632653061224,0.061224489795918366
461,92341,567,4283,5010,482,245,0.14510978043912176,0.09620758483033932,0.04890219560878244
462,92342,3162,16247,19367,2665,455,0.16109877626891103,0.13760520472969484,0.023493571539216194
463,92344,7089,34847,41645,5204,1594,0.16323688317925322,0.12496097970944892,0.0382759034698043
464,92345,23082,130203,152017,16863,4951,0.14349710887598097,0.11092838300979496,0.03256872586618602
465,92346,12504,85424,97457,9304,2729,0.123469837979827,0.09546774474896622,0.02800209323086079
466,92347,108,750,884,73,61,0.1515837104072398,0.08257918552036199,0.06900452488687783
467,92352,7188,36716,45413,5018,3679,0.19150903926188537,0.110496994252747,0.08101204500913835
468,92354,4183,28961,32875,3087,827,0.11905703422053232,0.09390114068441065,0.025155893536121673
469,92356,1904,9654,11500,1225,621,0.16052173913043477,0.10652173913043478,0.054
470,92358,179,1138,1322,117,67,0.13918305597579425,0.08850226928895613,0.05068078668683813
471,92359,2034,14163,16096,1480,453,0.12009194831013917,0.091948310139165,0.028143638170974154
