ZIP,Median_Income_2017,Median_Income_2018,Median_Income_2019,Median_Income_2020,Median_Income_2021,Median_Income_2022,Median_Income_2023
92358,41635,41100,32500,53403,63194,68750,92772
92359,56590,62306,65352,58250,62891,71384,74408
92363,34159,31958,33942,33479,33268,39155,40226
92365,54630,55729,53300,55938,55625,59375,61944
92368,33300,32545,31000,36500,41442,43750,75000
92371,53545,55153,57692,62143,63605,73410,78761
92372,52206,50964,54493,52500,62542,52296,63665
92373,65403,69818,78484,81557,86430,93886,99354
92374,67606,71297,71245,78191,86132,92821,96237
92376,50359,52618,56013,59416,64478,71825,76914
92377,77094,83384,86784,95953,100625,108973,111088
92378,76538,78571,65208,69318,59205,72813,70515
92382,59547,58073,58750,66011,72331,83303,85208
92386,30455,40714,41840,38378,40568,46597,46490
92389,26094,27625,30577,33173,35227,31563,26731
92391,48063,43523,48233,44298,75117,75296,70987
92392,58063,57885,62961,61872,66908,73860,81652
92394,48730,53636,53107,61270,68767,73028,75430
92395,43395,47921,50404,48495,50223,53147,57407
92397,62118,61496,68640,63705,66591,77171,86370
92398,61055,54073,56757,55572,52259,54122,56664
92399,58570,63984,69745,73647,76311,87457,94718
92401,23043,23295,22500,34167,38667,41447,42898
92404,42051,44474,46770,49799,55381,62318,66173
92405,38762,39681,42022,41631,45478,55282,59271
92407,56819,63171,68281,72281,76743,83724,83662
92408,38949,39472,42595,57197,56683,57793,63696
92410,27383,30072,35358,41060,45741,50477,53390
92411,37266,40539,41984,44129,52281,54053,55457
92501,55192,56239,61630,71204,71980,78750,83027
92503,62998,66579,71542,75415,80594,87042,91523
92504,60211,62699,63581,69531,73153,83139,88168
92505,62232,64505,70854,71139,72721,81217,84528
92506,87190,91216,98111,101670,107085,115246,120877
92507,44912,48872,51288,54701,61410,67203,72367
92508,103942,104668,116976,121021,129794,141449,144485
92509,63719,66232,68210,76568,81747,89640,95218
92518,67365,74741,70365,75741,85435,86544,83438
92530,51922,55399,57286,64270,70714,77569,84799
92532,84173,85181,87636,92288,94752,107765,111746
92536,55433,53107,59960,48182,65509,62703,80046
92539,42598,42370,43036,52857,48954,54107,63203
92543,31447,33197,33319,38686,41826,43881,47002
92544,46375,49793,52744,53885,57881,63579,67011
92545,44166,46910,46904,48052,49458,56193,59575
92548,41332,44717,50464,53643,54444,56375,54909
92549,64068,68977,78977,79276,72738,85577,83318
92551,54955,61938,66370,71947,80287,91579,92172
92553,48329,50741,51516,54234,59966,67254,71344
92555,81104,84612,87338,91839,98162,105490,113636
92557,67121,70234,73661,76174,79833,89629,93464
92561,80964,71343,81667,51528,62115,90179,87140
92562,81500,89002,92093,95156,101667,108595,113204
92563,86580,90906,96929,96604,105106,112347,118519
92567,61023,68086,68516,79962,86818,87484,80319
92570,47696,52325,60789,62764,68305,75249,77570
92571,56921,61780,64583,69444,73026,81884,85746
92582,61667,70578,70642,72701,78812,88850,97723
92583,41169,42931,44756,46844,50847,60352,63582
92584,85527,88201,95242,97674,103842,111057,113470
92585,65188,73417,73682,82217,89105,100470,97898
92586,36887,39780,40757,44179,50921,56528,53991
92587,71838,80156,83943,88771,95000,96955,105781
92590,69643,70865,68125,63938,65389,71827,76952
92591,77234,83189,88034,89574,94745,101117,107312
92592,99049,101676,105279,108412,114281,122882,132475
92595,69805,74735,78057,79895,83799,93376,98132
92596,97713,101327,101903,103138,106957,114542,120860
92602,103367,105433,100745,101459,123455,137037,150406
92603,120915,131196,146505,170781,175012,187713,192083
92604,97901,105108,106821,112543,114575,120460,128092
92606,92554,96588,102991,112688,124586,128580,140790
92610,128050,131845,129270,141629,155101,170469,181188
92612,75556,79366,83942,74672,76648,88929,95938
92614,93410,97742,104021,107662,104971,109475,121276
92617,41361,39135,36824,42756,57372,67056,80167
92618,103758,101822,107353,112054,117833,132843,135609
92620,102815,110483,115826,116650,131521,135494,144572
92624,100132,97976,98689,115403,110990,121028,125377
92625,139561,140232,155372,162250,167925,174570,197628
92626,85662,84968,88398,95175,98766,105281,117627
92627,64454,71776,79790,85585,94833,105647,105039
92629,90078,100243,99838,105014,111155,119368,131731
92630,87059,92552,97554,99565,108963,120848,119984
92637,40837,41928,44020,46582,53076,56928,60235
92646,94205,96915,98882,102473,112926,123899,132841
92647,77761,80218,87237,91331,97736,106555,107877
92648,91410,93413,95857,97470,105759,116189,118993
92649,91398,97459,100341,101466,104320,116055,121604
92651,120302,126469,132222,129164,138734,148381,143569
92653,101327,99078,101735,104571,111111,123490,128623
92655,41923,42342,40529,41538,48323,61991,64602
92656,105964,108288,111690,116350,121275,130854,134538
92657,215000,204688,204291,187396,181176,194881,202813
92660,118971,122222,123955,135373,142500,152700,154035
92661,102279,106673,123558,171339,169911,197344,209620
92662,97591,106143,117969,127443,143781,157128,162045
92663,102017,103965,106526,106209,118718,123333,138271
92672,77733,81347,87455,89029,96929,105534,109991
92673,144331,147747,151007,149882,159244,172056,180077
92675,82532,88692,94429,105524,111875,123474,127893
92676,100282,103935,104779,107083,107794,116042,114167
92677,98743,103322,108252,119322,125495,135822,140605
92679,153053,162447,175027,182857,197951,206361,207652
92683,57546,61813,62617,67104,71108,80292,82703
92688,103215,108876,116064,116557,127522,141089,142015
92691,106581,113280,117517,118379,122967,134070,135779
92692,108252,114167,117828,125115,128194,136906,133028
92694,154384,166262,166015,171121,165290,187701,183168
92701,41934,46728,52372,53710,57796,65375,68697
92703,52970,57186,61584,65687,71807,77759,80817
92704,63056,65645,69272,76136,80902,89654,94249
92705,94194,101711,108786,106058,119260,125059,125928
92706,58648,64102,70201,80051,80990,90617,96424
92707,65919,73648,77505,86001,89455,94862,99491
92708,85536,84509,92301,89478,92765,108860,111797
92780,67057,70536,75378,75626,83662,89375,98647
92782,106125,112204,118438,125469,123909,139505,143433
92801,54476,60554,63046,65683,71309,76264,78477
92802,54414,58944,60170,66429,70622,81538,83621
92804,55736,61611,65786,66936,70649,75847,74588
92805,59934,63691,66253,71253,74002,81576,85623
92806,66372,68272,68973,77570,83330,90512,95112
