ZIP,Median_Income_ACSST5Y2017,Median_Income_ACSST5Y2018,Median_Income_ACSST5Y2019,Median_Income_ACSST5Y2020,Median_Income_ACSST5Y2021,Median_Income_ACSST5Y2022,Median_Income_ACSST5Y2023
95113,114539.0,122120,135875,131094,124625,133021,140938
95116,56299.0,60855,65667,70656,76339,81216,83428
95117,82279.0,91347,95726,104160,107972,112003,115778
95118,101780.0,107701,115306,123250,130745,142563,148438
95119,120071.0,118090,126860,122944,133017,151500,164129
95120,171908.0,185800,206531,207959,221632,245273,"250,000+"
95121,94818.0,102728,106394,111105,117991,128435,133700
95122,66606.0,73388,78734,84335,90984,94924,103406
95123,102599.0,112946,117579,121404,124389,138557,136364
95124,131250.0,143425,155550,158484,165344,178058,188433
95125,114386.0,116708,118788,121428,128452,140092,148422
95126,85489.0,92788,99160,108503,116063,121520,127297
95127,84239.0,92419,98692,104518,110887,118770,120548
95128,80916.0,88007,93455,100198,105563,117284,122647
95129,131976.0,144333,148068,157747,163245,178818,182662
95130,106477.0,120639,127772,143125,158656,169199,155787
95131,114675.0,121567,126757,139427,151389,164227,170128
95132,102868.0,111623,121288,130078,143695,164447,172266
95133,79043.0,82487,86686,98386,110484,126080,132069
95134,132891.0,139558,150131,153719,166828,182920,196847
95135,137067.0,142531,148438,160901,178977,199042,196179
95136,98340.0,104909,112074,119081,131879,137006,143696
95138,159311.0,173286,179724,166895,172434,189359,194300
95139,125855.0,135089,139612,157500,148750,187656,193061
95148,120088.0,129984,138763,143641,153433,158565,160729
95202,14549.0,14484,14822,17270,16976,19942,23954
95203,41218.0,41452,44922,46892,48044,52542,64710
95204,44953.0,48062,53077,56041,62366,70063,71792
95205,33915.0,35544,36444,39013,48767,55536,58138
95206,45342.0,48908,50918,53830,59893,69559,79751
95207,41307.0,44103,49647,54951,61167,66459,68767
95209,74645.0,78883,81841,84387,88809,94324,106056
95210,40426.0,43587,47142,48614,52453,58815,65411
95212,82260.0,88178,95759,97775,98917,108958,104078
95215,45441.0,45501,46191,49758,51462,58361,68189
95219,81049.0,83194,83558,82078,83934,93638,105300
95220,65682.0,74583,85906,94740,93333,108101,116324
95222,51308.0,52289,54508,53674,57000,60156,71344
95223,57083.0,59330,56121,61331,78403,97574,98934
95224,19000.0,32961,-,-,36667,54605,59167
95227,88750.0,92938,96023,99671,101071,141607,150143
95228,76354.0,80706,83313,84885,86132,97301,107857
95230,82995.0,85299,89016,90417,108889,130048,135304
95231,40172.0,41445,41935,54615,77054,70242,73292
95236,70809.0,74184,74020,74613,80221,81125,96339
95237,53646.0,56190,61042,71979,76333,89042,86836
95240,44499.0,46309,50992,55933,62268,70212,76870
