ZIP Code,new_policies,renewed_policies,nonrenewed_policies,total_units_x,median_home_value,Avg_Median_Income_2018_2021,earned_premium,earned_exposure,expiring_policies,Climate_Disasters_Avf_10yr,New_and_Renewed_to_Nonrenewed_Ratio,New_and_Renewed_to_Total_Units_Ratio,Housing_Affordability_Ratio,Relative_Housing_Cost_Index,Premium_to_Exposure_Ratio,Nonrenewal_Rate,Renewal_Resilience,market_units,fair_plan_units,total_units_y,pct_market,pct_fair_plan,exposure_22
90272,3190,25881,3264,7191,2000001.0,199591.0,117553058,38730,29145,0.0,8.90655637254902,4.0426922542066475,10.020496916193617,163880.43367604562,3035.193854892848,0.1119917653113741,0.8880082346886259,6613,578,7191,0.9196217494089834,0.0803782505910165,1101997923
90274,3442,31981,3408,8308,1757700.0,175000.5,75162413,41284,35389,0.0,10.394072769953052,4.263721714010592,10.043971302939134,145594.82938957194,1820.6184720472825,0.0963011105145666,0.9036988894854332,8263,45,8308,0.9945835339431872,0.0054164660568127,77538324
90275,4909,47105,4825,12219,1247000.0,144054.25,76151620,66203,51930,0.0,10.780103626943005,4.2568131598330465,8.656461020761276,104984.4880080661,1150.274458861381,0.0929135374542653,0.9070864625457348,12158,61,12219,0.9950077747769868,0.0049922252230133,73495568
90277,2688,27063,2552,6881,1143800.0,106296.0,41825846,60450,29615,0.0,11.657915360501567,4.323644819066996,10.760517799352751,98825.09819615778,691.9081224152192,0.0861725476954246,0.9138274523045754,6847,34,6881,0.995058857724168,0.004941142275832,14795220
90278,3345,34529,3321,8439,992600.0,123560.25,41360387,60690,37850,0.0,11.404396266184884,4.487972508591065,8.033327870411398,84660.44096942998,681.5025045312243,0.0877410832232496,0.9122589167767504,8408,31,8439,0.996326578978552,0.003673421021448,14895522
90280,4879,51597,4595,15568,470200.0,54341.0,29406466,65240,56192,0.0,12.29075081610446,3.6276978417266186,8.652766787508511,43125.609595395246,450.7428877988964,0.0817732061503416,0.9182267938496584,14367,1201,15568,0.92285457348407,0.0771454265159301,369124223
90290,1085,4552,955,2353,1184900.0,128175.25,22606370,12508,5507,2.125,5.90261780104712,2.395665108372291,9.24437440145426,100746.91866784958,1807.3528941477457,0.1734156528055202,0.8265843471944797,561,1792,2353,0.2384190395240119,0.7615809604759881,2116336922
90291,3152,24905,3187,6970,1899800.0,99199.5,40475460,47144,28092,2.125,8.803577031691246,4.025394548063128,19.151306206180475,165129.8090196488,858.5495503139318,0.1134486686601167,0.8865513313398833,6821,149,6970,0.978622668579627,0.021377331420373,52070749
90292,723,5218,762,1427,1076900.0,120707.0,31440039,56119,5980,0.0,7.796587926509186,4.163279607568325,8.921603552403754,92033.91394265438,560.2387604910992,0.1274247491638796,0.8725752508361204,1415,12,1427,0.9915907498248072,0.0084092501751927,9830999
90293,775,6287,783,1643,899000.0,106359.25,16699291,24852,7070,0.0,9.019157088122606,4.298234936092514,8.452485326852154,77670.21968445873,671.9495815226139,0.1107496463932107,0.8892503536067893,1636,7,1643,0.995739500912964,0.0042604990870359,4136867
90301,1412,13560,1202,4341,547900.0,49552.0,11279681,24149,14762,2.125,12.455906821963394,3.448974890578208,11.057071359380044,50680.90427496841,467.086877303408,0.0814252811272185,0.9185747188727814,4038,303,4341,0.930200414651002,0.0697995853489979,89385816
90302,1259,12230,1233,3617,590000.0,54234.75,12386974,23741,13463,2.125,10.93998377939984,3.7293337019629527,10.878634086079495,54123.09198313297,521.7545175013689,0.0915843422714105,0.9084156577285896,3370,247,3617,0.9317113630080176,0.0682886369919823,76743342
