ZIP Code,new_policies,renewed_policies,nonrenewed_policies,total_units,median_home_value,Avg_Median_Income_2018_2021,earned_premium,earned_exposure,expiring_policies,Climate_Disasters_Avf_10yr,New_and_Renewed_to_Nonrenewed_Ratio,New_and_Renewed_to_Total_Units_Ratio,Housing_Affordability_Ratio,Relative_Housing_Cost_Index,Premium_to_Exposure_Ratio,Nonrenewal_Rate,Renewal_Resilience
90046,3616,20113,3469,6664,1290400.0,72388.0,81206223,75834,23582,0.0,6.840299798212741,3.5607743097238895,17.826159031883737,115319.3517467309,1070.8418783131576,0.1471037231786956,0.8528962768213044
90047,5127,41448,4581,12465,519400.0,55327.75,36222636,52469,46029,0.0,10.166994106090373,3.7364620938628157,9.387694240232072,47559.61719585193,690.3626141150013,0.0995242129961546,0.9004757870038455
90048,2001,12852,1996,3733,1441200.0,97983.25,33630863,36326,14848,0.0,7.4413827655310625,3.978837396196089,14.70863642510327,125402.95854097538,925.8069426856797,0.13442887931034483,0.8655711206896551
90049,3512,26250,3596,7541,2000001.0,133344.5,152080914,62092,29846,0.0,8.276418242491657,3.946691420236043,14.998751354574054,169481.68135930167,2449.283546994782,0.12048515713998526,0.8795148428600147
90056,857,8724,867,2291,1114900.0,92221.75,15758819,12093,9591,0.0,11.050749711649365,4.182016586643387,12.089339011675662,97524.90825963816,1303.1356156454146,0.09039724741945573,0.9096027525805442
90057,277,1477,255,652,576200.0,39276.25,3304352,11264,1732,0.0,6.87843137254902,2.6901840490797544,14.670443334075937,54469.6122260913,293.3551136363636,0.14722863741339492,0.8527713625866051
90059,3001,19704,2692,6540,415100.0,44838.5,14130817,26845,22396,0.0,8.434249628528974,3.4717125382262997,9.25766919053938,38755.19391080942,526.3854349040789,0.1202000357206644,0.8797999642793356
90061,1787,13541,1655,4532,438800.0,45033.5,10175902,18677,15196,0.0,9.261631419939578,3.382171226831421,9.743857350638969,40951.31763861684,544.8360014991702,0.10891023953672019,0.8910897604632798
90062,2638,17656,2304,6446,550600.0,50859.75,16817252,26476,19960,0.0,8.808159722222221,3.148309028855104,10.8258495175458,50808.229542160596,635.1885481190512,0.1154308617234469,0.8845691382765531
90063,3508,24843,3148,9014,481100.0,50777.75,16771678,36912,27991,0.0,9.006035578144854,3.145218548923896,9.474622250887446,44401.524527412046,454.3692566103164,0.11246472080311529,0.8875352791968847
90064,2629,23826,2584,6304,1388300.0,102596.0,43405754,41059,26410,0.0,10.238003095975232,4.196541878172589,13.531716636126164,120318.36684007444,1057.1556540587935,0.09784172661870504,0.902158273381295
