zipcode,State,CountyName,City,2018,2019,2020,2021,mean_2018_2021,percent_increase_2018_2021
92780,CA,Orange County,Tustin,672096.7667440908,678549.5422209741,712337.1335317744,806726.4455346363,717427.4720078689,20.03
95670,CA,Sacramento County,Rancho Cordova,358221.20301272464,370281.2718050949,392011.7276827925,458245.68050926994,394689.9707524705,27.92
91950,CA,San Diego County,National City,441336.1982899325,471945.4401540472,494894.21705073304,565280.0413758132,493363.9742176315,28.08
95112,CA,Santa Clara County,San Jose,884708.6172934795,900854.4288713308,911204.0419609166,991229.1130119694,921999.050284424,12.04
94591,CA,Solano County,Vallejo,450361.8478266883,463121.2906057339,485782.36603572895,566627.9740925517,491473.3696401757,25.82
92223,CA,Riverside County,Beaumont,344371.2978820365,357068.87353818846,375159.2395821644,452935.4908019454,382383.7254510837,31.53
92708,CA,Orange County,Fountain Valley,780041.56148472,791985.6302832029,837270.8401272288,954225.5209944438,840880.8882223988,22.33
90006,CA,Los Angeles County,Los Angeles,665783.8497344899,694231.9983496482,730308.8450386765,792117.2557614987,720610.4872210784,18.98
92620,CA,Orange County,Irvine,954117.2876193506,955698.544849232,970394.9039273892,1072014.5334349151,988056.3174577218,12.36
92130,CA,San Diego County,San Diego,1109786.6866778631,1127060.3668885203,1181986.9074077683,1422358.7908389394,1210298.1879532726,28.17
93030,CA,Ventura County,Oxnard,530195.6784684347,545936.9491766971,577930.6059534623,665629.8186343111,579923.2630582263,25.54
92707,CA,Orange County,Santa Ana,520302.04281418823,535250.0836872688,570571.2518901416,638544.5609093386,566166.9848252344,22.73
90066,CA,Los Angeles County,Los Angeles,1297440.7259231966,1352167.1322863314,1413510.5471174575,1572536.524455157,1408913.7324455357,21.2
91764,CA,San Bernardino County,Ontario,396671.6084322171,413682.0422045072,436574.0392133742,504391.4521184018,437829.7854921251,27.16
95125,CA,Santa Clara County,San Jose,1381159.9322660186,1375240.451130075,1402320.8554401055,1597885.3854914906,1439151.6560819224,15.69
93458,CA,Santa Barbara County,Santa Maria,372870.539845116,387612.24868696654,410540.91489204223,474137.3905295553,411290.27348842,27.16
92504,CA,Riverside County,Riverside,382199.20405411674,396583.4072077917,420438.2395309017,497638.14641911816,424214.74930298206,30.2
93215,CA,Kern County,Delano,203124.28033752728,213770.42176531244,228507.37399947827,258461.9138558373,225965.99748953883,27.24
93063,CA,Ventura County,Simi Valley,595427.3047121249,603206.6682067738,628627.4906497733,725912.7245563903,638293.5470312656,21.91
90813,CA,Los Angeles County,Long Beach,402872.5010084544,435519.6026880516,465084.99922789587,533877.4205121525,459338.63085913856,32.52
90744,CA,Los Angeles County,Los Angeles,464870.6106677747,488064.841197991,521790.025251884,599454.7967577823,518545.068468858,28.95
95023,CA,San Benito County,Hollister,591874.1672404819,607125.4106842001,632205.1675606583,745161.3074124955,644091.5132244589,25.9
94109,CA,San Francisco County,San Francisco,1204877.9338389076,1201513.8643580182,1195315.2161235877,1162933.8164909538,1191160.2077028668,-3.48
92129,CA,San Diego County,San Diego,769609.106236806,782623.3371096527,829566.0850059884,1001681.7110605504,845870.0598532493,30.15
91786,CA,San Bernardino County,Upland,473271.3950989452,477841.4867843755,501819.4939248995,593404.3542900572,511584.18252456933,25.38
91762,CA,San Bernardino County,Ontario,427150.2662442815,443310.87847356655,469965.8941917022,553038.152741465,473366.2979127538,29.47
92056,CA,San Diego County,Oceanside,531626.0458086696,545319.5925061778,577561.7994461501,680444.3346761368,583737.9431092836,27.99
91406,CA,Los Angeles County,Los Angeles,574125.5542729852,600926.3259508137,649274.9836424169,758568.3808351066,645723.8111753307,32.13
95648,CA,Placer County,Lincoln,478899.2768673716,495288.1036850186,518352.9918423815,603257.5706315282,523949.4857565749,25.97
95376,CA,San Joaquin County,Tracy,437179.15574232466,453695.106174332,471769.95006199274,568181.022914406,482706.3087232638,29.97
