ZIP Code,housing_units,median_gross_rent,median_ownership_cost,median_home_value
92585,7501,1869.0,514.0,371400.0
92586,9893,1389.0,476.0,276200.0
92587,6298,2060.0,740.0,442700.0
92590,1998,1103.0,1501.0,1071800.0
92591,14514,1955.0,687.0,501600.0
92592,25682,2236.0,723.0,522400.0
92595,10702,1721.0,486.0,417300.0
92596,9332,2205.0,730.0,475400.0
92602,10112,2541.0,1091.0,933600.0
92603,8027,2993.0,1169.0,1303200.0
92604,10629,2468.0,723.0,818400.0
92606,9505,2520.0,890.0,853800.0
92610,4422,2438.0,743.0,807300.0
92612,15582,2458.0,996.0,789000.0
92614,11740,2516.0,815.0,789500.0
92617,4475,1482.0,622.0,585600.0
92618,23230,2606.0,1354.0,960800.0
92620,22617,2721.0,923.0,982000.0
92624,3164,2278.0,699.0,913400.0
92625,6813,3190.0,1501.0,2000001.0
92626,20247,2153.0,655.0,842500.0
92627,23100,1960.0,645.0,842100.0
92629,13766,2402.0,891.0,981600.0
92630,24438,2242.0,742.0,694800.0
92637,13413,1912.0,927.0,327000.0
92646,22256,2201.0,700.0,814900.0
92647,22052,2128.0,550.0,793300.0
92648,21412,2061.0,963.0,985800.0
92649,15219,2187.0,858.0,885000.0
92651,14420,2448.0,1121.0,2000001.0
92653,11325,2346.0,912.0,771800.0
92655,2679,1378.0,498.0,583300.0
92656,20891,2428.0,774.0,679300.0
92657,4199,2938.0,1501.0,2000001.0
92660,17486,2848.0,1501.0,1905400.0
92661,2812,2629.0,1501.0,2000001.0
92662,1970,2276.0,1142.0,2000001.0
92663,12606,2210.0,1027.0,1590000.0
92672,17746,2091.0,752.0,980200.0
92673,10205,3044.0,1082.0,972200.0
92675,13318,2158.0,944.0,770000.0
92676,808,1850.0,504.0,712200.0
92677,27235,2449.0,931.0,909500.0
92678,263,2000.0,627.0,777000.0
92679,10949,2871.0,1095.0,970200.0
92683,28636,1791.0,606.0,651200.0
92688,15812,2276.0,847.0,673400.0
92691,16962,2233.0,598.0,750800.0
92692,17629,2456.0,748.0,795500.0
92694,11540,2722.0,1270.0,844700.0
92701,12812,1432.0,520.0,521700.0
92703,13944,1737.0,498.0,486000.0
92704,20214,1858.0,540.0,534800.0
92705,15738,1916.0,767.0,914900.0
92706,10285,1589.0,676.0,673300.0
92707,14687,1847.0,486.0,539700.0
92708,19218,2199.0,698.0,816900.0
92780,18244,1895.0,632.0,669400.0
92782,11390,2440.0,1143.0,879300.0
92801,19602,1771.0,649.0,543200.0
92802,12633,1734.0,608.0,577500.0
92804,25454,1776.0,606.0,594400.0
92805,22171,1771.0,562.0,583800.0
92806,13117,1918.0,565.0,623300.0
92807,12556,2339.0,697.0,731100.0
92808,7942,2502.0,779.0,807100.0
92821,15444,1978.0,702.0,700900.0
92823,1900,2943.0,1105.0,913900.0
92831,13339,1806.0,623.0,676300.0
92832,8850,1806.0,501.0,615300.0
92833,17038,1782.0,662.0,686700.0
92835,9514,1953.0,808.0,831100.0
92840,16087,1657.0,577.0,590900.0
92841,9725,1701.0,605.0,609900.0
92843,12079,1670.0,630.0,570200.0
92844,6942,1863.0,583.0,545400.0
92845,5485,2574.0,579.0,668900.0
92860,7401,1792.0,664.0,595300.0
92865,6974,2038.0,563.0,652400.0
92866,5951,1766.0,504.0,722200.0
92867,13252,1944.0,672.0,780900.0
92868,8721,2088.0,501.0,531900.0
92869,11674,2009.0,719.0,770700.0
92870,17258,1942.0,689.0,696700.0
92879,14216,1730.0,587.0,452900.0
92881,9432,1945.0,891.0,615000.0
92882,20245,1731.0,609.0,521000.0
92883,11753,2364.0,790.0,538500.0
92886,17479,2562.0,811.0,864700.0
92887,7334,2245.0,982.0,903900.0
93003,21206,1853.0,622.0,617700.0
93004,11714,2016.0,574.0,608100.0
93010,17068,2099.0,667.0,662300.0
93012,13984,2440.0,794.0,657700.0
93015,5882,1641.0,639.0,456600.0
93021,12434,2247.0,748.0,690900.0
93022,2343,2083.0,551.0,610500.0
93023,9442,1709.0,883.0,692700.0
93030,15617,1605.0,528.0,530000.0
93033,17402,1677.0,523.0,442700.0
93035,11773,2045.0,804.0,632800.0
93036,14309,1913.0,669.0,527700.0
93040,591,1417.0,555.0,393500.0
93041,8418,1841.0,670.0,446800.0
93060,10576,1445.0,611.0,446700.0
93063,20252,2198.0,643.0,626900.0
93065,26038,2338.0,720.0,642900.0
93066,1064,1615.0,1040.0,1068500.0
93101,13785,1816.0,661.0,905500.0
93103,8121,2107.0,823.0,1117000.0
93105,11730,2247.0,956.0,1180200.0
93108,5541,2941.0,1501.0,2000001.0
93109,4934,2586.0,790.0,1413400.0
93110,6818,2093.0,901.0,875700.0
93111,6748,2527.0,711.0,961100.0
93117,17569,1861.0,669.0,838300.0
93201,361,826.0,481.0,91000.0
93203,5096,956.0,476.0,192800.0
93204,3168,955.0,434.0,180200.0
93205,1130,817.0,389.0,109500.0
93206,542,944.0,470.0,152200.0
93212,4533,882.0,455.0,176400.0
93215,13018,943.0,402.0,215100.0
93218,196,1167.0,338.0,134500.0
93219,2634,816.0,391.0,162500.0
93221,4929,1096.0,521.0,278600.0
93222,2202,1388.0,536.0,282500.0
93223,2914,804.0,345.0,189100.0
93224,190,1219.0,366.0,152200.0
93230,22823,1072.0,518.0,252300.0
93234,1861,784.0,287.0,190000.0
93235,1303,801.0,413.0,175600.0
93240,3260,984.0,566.0,177900.0
93241,4729,851.0,328.0,147600.0
93245,13012,1270.0,474.0,261400.0
93247,5593,847.0,424.0,208800.0
93249,554,783.0,323.0,149100.0
93250,3736,983.0,392.0,203700.0
93254,482,1058.0,310.0,182200.0
93256,1648,975.0,444.0,162700.0
93257,24617,989.0,438.0,211800.0
93261,575,750.0,335.0,127600.0
93263,5982,1023.0,377.0,206700.0
93265,2024,923.0,551.0,305900.0
93267,1932,792.0,386.0,143000.0
93268,6749,895.0,474.0,164200.0
93270,1642,864.0,482.0,221700.0
93271,1523,1350.0,704.0,333600.0
93272,1217,1136.0,467.0,185200.0
93274,23439,1124.0,492.0,246600.0
93277,19551,1142.0,451.0,256600.0
93280,7110,839.0,373.0,188300.0
93283,1406,703.0,333.0,119800.0
93285,2276,1063.0,380.0,101600.0
93286,3023,827.0,502.0,232800.0
93291,19151,1104.0,532.0,294800.0
93292,14276,1276.0,466.0,252500.0
93301,5892,950.0,598.0,190600.0
93304,16257,1008.0,447.0,179300.0
93305,11680,939.0,432.0,169300.0
93306,23465,1101.0,571.0,227700.0
93307,24065,1018.0,455.0,187100.0
93308,21108,1071.0,528.0,242800.0
93309,23435,1106.0,558.0,226200.0
93311,16710,1533.0,625.0,324800.0
93312,18795,1684.0,650.0,328400.0
93313,16724,1652.0,533.0,283400.0
93314,10930,1705.0,764.0,412200.0
93401,13718,1615.0,646.0,775100.0
93402,6605,1721.0,727.0,616100.0
93405,9459,1816.0,677.0,753500.0
93420,13421,1703.0,697.0,710000.0
93422,13553,1593.0,704.0,573000.0
93424,807,1907.0,1083.0,888000.0
93427,2553,1996.0,619.0,621600.0
93428,4255,1469.0,834.0,705200.0
93430,2615,1508.0,632.0,896700.0
93433,5913,1682.0,500.0,577300.0
93434,2180,1272.0,280.0,337100.0
93436,18453,1353.0,534.0,373600.0
93441,467,2075.0,1028.0,927500.0
93442,6527,1640.0,648.0,711900.0
93444,8113,1714.0,790.0,643200.0
93445,3279,1260.0,441.0,425200.0
93446,19168,1595.0,615.0,502500.0
93449,6040,2002.0,703.0,771400.0
93450,260,1292.0,640.0,338100.0
93452,332,1152.0,700.0,281800.0
93454,12228,1461.0,503.0,375900.0
93455,16023,2024.0,660.0,452600.0
93458,14230,1555.0,475.0,361300.0
93460,2537,2164.0,884.0,962500.0
