,ZIP,Avg_Percentage_2018_2021,Avg_Change_2018_2021,Total_Change_2018_2021
2082,95314,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2083,95315,52.425,-3.733333333333332,-11.199999999999996
2084,95316,71.89999999999999,-3.6666666666666665,-11.0
2085,95317,52.425,-3.733333333333332,-11.199999999999996
2086,95318,87.60000000000001,-1.0,-3.0
2087,95319,71.89999999999999,-3.6666666666666665,-11.0
2088,95320,52.7,-3.2666666666666657,-9.799999999999997
2089,95321,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2090,95322,52.425,-3.733333333333332,-11.199999999999996
2091,95323,71.89999999999999,-3.6666666666666665,-11.0
2092,95324,52.425,-3.733333333333332,-11.199999999999996
2093,95325,87.60000000000001,-1.0,-3.0
2094,95326,71.89999999999999,-3.6666666666666665,-11.0
2095,95327,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2096,95328,71.89999999999999,-3.6666666666666665,-11.0
2097,95329,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2098,95330,52.7,-3.2666666666666657,-9.799999999999997
2099,95333,52.425,-3.733333333333332,-11.199999999999996
2100,95334,52.425,-3.733333333333332,-11.199999999999996
2101,95335,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2102,95336,52.7,-3.2666666666666657,-9.799999999999997
2103,95337,52.7,-3.2666666666666657,-9.799999999999997
2104,95338,87.60000000000001,-1.0,-3.0
2105,95340,52.425,-3.733333333333332,-11.199999999999996
2106,95341,52.425,-3.733333333333332,-11.199999999999996
2107,95343,52.425,-3.733333333333332,-11.199999999999996
2108,95344,52.425,-3.733333333333332,-11.199999999999996
2109,95345,87.60000000000001,-1.0,-3.0
2110,95346,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2111,95347,86.82499999999999,-0.6999999999999981,-2.0999999999999943
2112,95348,52.425,-3.733333333333332,-11.199999999999996
2113,95350,71.89999999999999,-3.6666666666666665,-11.0
2114,95351,71.89999999999999,-3.6666666666666665,-11.0
2115,95352,71.89999999999999,-3.6666666666666665,-11.0
2116,95353,71.89999999999999,-3.6666666666666665,-11.0
2117,95354,71.89999999999999,-3.6666666666666665,-11.0
2118,95355,71.89999999999999,-3.6666666666666665,-11.0
2119,95356,71.89999999999999,-3.6666666666666665,-11.0
2120,95357,71.89999999999999,-3.6666666666666665,-11.0
2121,95358,71.89999999999999,-3.6666666666666665,-11.0
2122,95360,71.89999999999999,-3.6666666666666665,-11.0
2123,95361,71.89999999999999,-3.6666666666666665,-11.0
2124,95363,71.89999999999999,-3.6666666666666665,-11.0
